"ADDRESS","BALANCE","BLOCK_HEIGHT","CONTRACT_ADDRESS","CONTRACT_DECIMALS","CONTRACT_NAME","CONTRACT_TICKER_SYMBOL","LOGO_URL","TOTAL_SUPPLY"
"0x5c8960c7f56878ae3769bf7145b0147f83bfdf58","60428244988620539015685","11100000","0xd3d2e2692501a5c9ca623199d38826e513033a17","18","Uniswap V2","UNI-V2","https://logos.covalenthq.com/tokens/0xd3d2e2692501a5c9ca623199d38826e513033a17.png","370180879371729421355736"
"0x2c03d6aba12b3f33655184488492f164aeff6098","38853463576616636203942","11100000","0xd3d2e2692501a5c9ca623199d38826e513033a17","18","Uniswap V2","UNI-V2","https://logos.covalenthq.com/tokens/0xd3d2e2692501a5c9ca623199d38826e513033a17.png","370180879371729421355736"
"0xbc64bde4c3b70147c47c16dd9277a6aaef7e0f02","15670101993582716033747","11100000","0xd3d2e2692501a5c9ca623199d38826e513033a17","18","Uniswap V2","UNI-V2","https://logos.covalenthq.com/tokens/0xd3d2e2692501a5c9ca623199d38826e513033a17.png","370180879371729421355736"
"0x1d933fd71ff07e69f066d50b39a7c34eb3b69f05","13229724506554593284883","11100000","0xd3d2e2692501a5c9ca623199d38826e513033a17","18","Uniswap V2","UNI-V2","https://logos.covalenthq.com/tokens/0xd3d2e2692501a5c9ca623199d38826e513033a17.png","370180879371729421355736"
"0x3078f22015436d621062f7cc8334774eb5685e97","12572441418432698302598","11100000","0xd3d2e2692501a5c9ca623199d38826e513033a17","18","Uniswap V2","UNI-V2","https://logos.covalenthq.com/tokens/0xd3d2e2692501a5c9ca623199d38826e513033a17.png","370180879371729421355736"
"0x92e5d84e70fcebbed9aa7c683c58f2e8172c28f0","11099703918081420062712","11100000","0xd3d2e2692501a5c9ca623199d38826e513033a17","18","Uniswap V2","UNI-V2","https://logos.covalenthq.com/tokens/0xd3d2e2692501a5c9ca623199d38826e513033a17.png","370180879371729421355736"
"0x6f949c1403c34f15ba101a515bd7a9a44f6058ef","5076206467738738141218","11100000","0xd3d2e2692501a5c9ca623199d38826e513033a17","18","Uniswap V2","UNI-V2","https://logos.covalenthq.com/tokens/0xd3d2e2692501a5c9ca623199d38826e513033a17.png","370180879371729421355736"
"0x9c5083dd4838e120dbeac44c052179692aa5dac5","4755951864880485616574","11100000","0xd3d2e2692501a5c9ca623199d38826e513033a17","18","Uniswap V2","UNI-V2","https://logos.covalenthq.com/tokens/0xd3d2e2692501a5c9ca623199d38826e513033a17.png","370180879371729421355736"
"0x631fdef0781c00add20176f254f5ae5c26da1c99","4307467826195139046984","11100000","0xd3d2e2692501a5c9ca623199d38826e513033a17","18","Uniswap V2","UNI-V2","https://logos.covalenthq.com/tokens/0xd3d2e2692501a5c9ca623199d38826e513033a17.png","370180879371729421355736"
"0x669bffac935be666219c68d20931cbf677b8fa1c","4059944909192039675057","11100000","0xd3d2e2692501a5c9ca623199d38826e513033a17","18","Uniswap V2","UNI-V2","https://logos.covalenthq.com/tokens/0xd3d2e2692501a5c9ca623199d38826e513033a17.png","370180879371729421355736"
"0x05e2461c8c10138aee241268f28de6003d3dbadb","3326662830009160820861","11100000","0xd3d2e2692501a5c9ca623199d38826e513033a17","18","Uniswap V2","UNI-V2","https://logos.covalenthq.com/tokens/0xd3d2e2692501a5c9ca623199d38826e513033a17.png","370180879371729421355736"
"0x33347b240752eb888f39bdfe8467600303d48f8c","3112800870717984333864","11100000","0xd3d2e2692501a5c9ca623199d38826e513033a17","18","Uniswap V2","UNI-V2","https://logos.covalenthq.com/tokens/0xd3d2e2692501a5c9ca623199d38826e513033a17.png","370180879371729421355736"
"0x0fccef1c29deddb1e2a007ee9c1edf63149aa6b3","3109533334310684457511","11100000","0xd3d2e2692501a5c9ca623199d38826e513033a17","18","Uniswap V2","UNI-V2","https://logos.covalenthq.com/tokens/0xd3d2e2692501a5c9ca623199d38826e513033a17.png","370180879371729421355736"
"0x255341c4d7fb717db6e5b230a0e8e20f741e425e","2915612161878007902728","11100000","0xd3d2e2692501a5c9ca623199d38826e513033a17","18","Uniswap V2","UNI-V2","https://logos.covalenthq.com/tokens/0xd3d2e2692501a5c9ca623199d38826e513033a17.png","370180879371729421355736"
